"الرقم","الكلمة","السورة والآية","المعنى (عربي)","الكلمة (Svenska)","الآية كاملة","ترجمة الآية (Svenska)"
1,"يَتَسَاءَلُونَ","النبأ (1)","يسأل بعضهم بعضاً","Frågar varandra","عَمَّ يَتَسَاءَلُونَ","Vad är det de frågar varandra om"
2,"النَّبَأِ","النبأ (2)","الخبر العظيم","Den stora nyheten","عَنِ النَّبَأِ الْعَظِيمِ","[De frågar] om den stora nyheten"
3,"مِهَادًا","النبأ (6)","ممهدة كالفراش","Bädd / Viloplats","أَلَمْ نَجْعَلِ الْأَرْضَ مِهَادًا","Har Vi inte gjort jorden till en bädd"
4,"أَوْتَادًا","النبأ (7)","رواسي تثبت الأرض","Pålar","وَالْجِبَالَ أَوْتَادًا","och bergen till pålar"
5,"أَزْوَاجًا","النبأ (8)","أصنافاً (ذكراً وأنثى)","I par","وَخَلَقْنَاكُمْ أَزْوَاجًا","och Vi har skapat er i par"
6,"سُبَاتًا","النبأ (9)","راحة للأبدان","Vila","وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا","och gjort sömnen till vila för er"
7,"لِبَاسًا","النبأ (10)","ساتراً بظلامه","Klädnad","وَجَعَلْنَا اللَّيْلَ لِبَاسًا","och gjort natten till en klädnad"
8,"مَعَاشًا","النبأ (11)","وقتاً للسعي والرزق","Tid för utkomst","وَجَعَلْنَا النَّهَارَ مَعَاشًا","och gjort dagen till en tid för utkomst"
9,"شِدَادًا","النبأ (12)","قوية محكمة","Fasta (himlar)","وَبَنَيْنَا فَوْقَكُمْ سَبْعًا شِدَادًا","Och ovanför er har Vi byggt sju fasta [himlar]"
10,"سِرَاجًا","النبأ (13)","مصباحاً (الشمس)","Lampa (Solen)","وَجَعَلْنَا سِرَاجًا وَهَّاجًا","och hängt upp en flammande lampa"
11,"وَهَّاجًا","النبأ (13)","مضيئاً متوقداً","Flammande","وَجَعَلْنَا سِرَاجًا وَهَّاجًا","och hängt upp en flammande lampa"
12,"الْمُعْصِرَاتِ","النبأ (14)","السحب الممطرة","Regnmoln","وَأَنزَلْنَا مِنَ الْمُعْصِرَاتِ مَاءً ثَجَّاجًا","och [att Vi] låter regn flöda ur de tunga molnen"
13,"ثَجَّاجًا","النبأ (14)","منصبّاً بكثرة","Flödande","وَأَنزَلْنَا مِنَ الْمُعْصِرَاتِ مَاءً ثَجَّاجًا","och [att Vi] låter regn flöda ur de tunga molnen"
14,"أَلْفَافًا","النبأ (16)","ملتفة الأشجار","Täta (snår)","وَجَنَّاتٍ أَلْفَافًا","och lummiga trädgårdar"
15,"مِيقَاتًا","النبأ (17)","وقتاً محدداً","En fastställd tid","إِنَّ يَوْمَ الْفَصْلِ كَانَ مِيقَاتًا","Åtskillnadens dag är sannerligen en fastställd tid"
